METRO LA MARINA,Av. La Marina cdra. 25,SAN MIGUEL,-12.07684,-77.091715
METRO CHORRILLOS,"Av. Prol. Paseo de la República s/n, Matellini",CHORRILLOS,-12.132292,-77.021588
METRO VENEZUELA,Esq. Av. Venezuela con Av. Alfonso Ugarte,BREÑA,-12.053758,-77.043033
METRO LIMATAMBO,Av. Benjamin Doig Brent s/n esq. Av. Angamos,SAN BORJA,-12.108921,-77.005109
METRO CARLOS IZAGUIRRE,Av. Alfredo Mendiola No. 3900,INDEPENDENCIA,-12.000011,-77.062272
METRO SAN JUAN DE LURIGANCHO,Av. Próceres de la Independencia 1632,SAN JUAN DE LURIGANCHO,-11.956372,-76.988468
METRO UNI,"Av. Túpac Amaru Cdra. 16, Esq. Calle 18 Enero",INDEPENDENCIA,-11.969597,-77.057383
METRO CANADA,Av. Canadá 654 esq. con Av. Nicolás Arriola,LA VICTORIA,-12.084121,-77.013799
METRO COLONIAL,R. Oscar Benavides 3002,LIMA,-12.04996,-77.08021
METRO LA PASCANA,"Av. Túpac Amaru Km. 3.5, Urb. La Pascana",COMAS,-11.932272,-77.043779
METRO VENTANILLA,Av. Alfredo Mendiola No. 3900,VENTANILLA,-11.876107,-77.126409
METRO LA MOLINA,Av. La Molina 1068 esq. con Las Zarzamoras,LA MOLINA,-12.070168,-76.957837
METRO GARZON,Gral. Garzón 1337,JESUS MARIA,-12.073945,-77.050534
METRO ARAMBURU,Calle las Tiendas 290,Surquillo,-12.10376,-77.02073
METRO SUCRE,Av. Sucre 550-552,PUEBLO LIBRE,-12.075959,-77.064722
METRO PERSHING,Av. Gregorio Escobedo 1050,JESUS MARIA,-12.089157,-77.057809
METRO ALCAZAR,Jr. Trujillo No. 414,RIMAC,-12.040727,-77.029055
METRO SAN ISIDRO,Av. Paseo de la República 3440,SAN ISIDRO,-12.097319,-77.026201
METRO BARRANCO,Av. Grau 513,BARRANCO,-12.146463,-77.021822
METRO HUMTEC,"Av. Universitaria, Lote 1, Mza. E, Urb. El Retablo",COMAS,-11.923623,-77.052126
METRO OVALO BALTA,Ovalo Balta N° 1198 - 1102,BARRANCO,-12.140075,-77.017061
METRO EMANCIPACION,Jr. Cuzco 245,LIMA,-12.04954,-77.031832
WONG DOS DE MAYO,Av. 2 de Mayo 1099,SAN ISIDRO,-12.092073,-77.041887
WONG OVALO GUTIERREZ,Av. Santa Cruz 771 Urb. Los Sirius,MIRAFLORES,-12.110044,-77.036274
WONG AURORA,Calle Arias schereiber 270 C.C. Aurora,MIRAFLORES,-12.121425,-77.011203
WONG BENAVIDES,Esq. Av. Benavides y Av. Republica de Panamá,MIRAFLORES,-12.125936,-77.017681
WONG CHACARILLA,Calle Monte Bello 150 Urb. Chacarilla,SURCO,-12.111565,-76.992136
WONG UCELLO,Calle Ucello 162,SAN BORJA,-12.090437,-77.005001
WONG LAS VIÑAS,Las Retamas 190 Urb. Los Sirius,LA MOLINA,-12.091927,-76.950936
WONG CAMACHO,Av. Javier Prado Este Cdra. 50 - CC. Camacho,LA MOLINA,-12.08068,-76.967255
WONG LA PLANICIE,Esq. Av. Elias Aparicio y Calle Tahiti - La Planicie,LA MOLINA,-12.077302,-76.917733
WONG LAS GARDENIAS,Av. Benavides Cdra. 52 esq. con Los Artesanos,SURCO,-12.130121,-76.98249
WONG TOMAS MARSANO,AV. TOMAS MARSANO ESQ.ANDRES TINOCO,SURCO,-12.142823,-76.990187
WONG ATE,Av. La Molina 378,ATE,-12.060054,-76.964214
TOTTUS La Marina Open Plaza,Av. La Marina 2355 - Urb. Maranga,San Miguel,-12.080282,-77.088944
TOTTUS Chorrillos,Av. Defensores del Morro 1350 (ex. Av.Huaylas),Chorrillos,-12.18941,-77.006357
TOTTUS Quilca,Av. Lima 4208 - Urb.  Bocanegra,Callao,-12.027463,-77.093707
TOTTUS Sáenz Peña,Calle Castilla 496 (altura cuadra 4 Av. Sáenz Peña),Callao,-12.059991,-77.144047
TOTTUS El Agustino,Jr. Ancash N° 2479 (ex cuartel La Pólvora),El Agustino,-12.0408,-77.002886
TOTTUS Pachacútec,Av. Pachacutec 6321 - Tablada de Lurin,Villa María del Triunfo,-12.200442,-76.928015
TOTTUS Mall Aventura Plaza Bellavista,Av. Oscar R. Benavides 3866 (ex. Av. Colonial),Callao,-12.049435,-77.079999
TOTTUS Centro Comercial Megaplaza,Av. Alfredo Mendiola 3698,Independencia,-11.999823,-77.061821
TOTTUS Las Begonias,Calle Las Begonias 785 - Urb. Jardín,San Isidro,-12.095472,-77.025536
TOTTUS Canta Callao Open Plaza,Av. Japon (Ex-Bertello) cruce con Av. Canta Callao,Callao,-11.997913,-77.113127
TOTTUS Atocongo Open Plaza,Av. Circunvalación 1803,San Juan de Miraflores,-12.147459,-76.98108
TOTTUS LA FONTANA,AV La Fontana Mz.I6 790- 784 Urb. La Riviera Mont Et.2,La Molina,-12.072854,-76.95067
TOTTUS ZORRITO,AV. COLONIAL 1291 – EL CERCADO,LimA,-12.04868,-77.070576
TOTTUS SURQUILLO,Av Angamos este 1805,Surquillo,-12.111628,-77.011984
TOTTUS CENTRO DE LIMA,Av. Tacna N° 665 (esquina con Jr. Moquegua),LimA,-12.046644,-77.038368
TOTTUS JOCKEY PLAZA,"Av. Javier Prado Este 4200, C.C. Jockey Plaza",Surco,-12.084562,-76.976323
